BIMTypeCode;BIMTypeCode-Description;IfcTypeObject;PredefinedType;IfcGroup;IfcGroup-PredefinedType;CCS;FVK
423;Beklædninger, monterede;IfcCoveringType;CLADDING;;;;
429;Øvrigt, Indvendige vægoverflader;;;;;;
43;Dæk og gulve, overflader;;;;;;
431;- verkant -;;;;;;
432;Beklædninger, påmurede og støbte;IfcCoveringType;FLOORING;;;;
433;Beklædninger, monterede;IfcCoveringType;FLOORING;;;;
439;Øvrigt, Dæk og gulvoverflader;;;;;;
44;Trapper og ramper, overflader;;;;;;
441;- verkant -;;;;;;
442;Beklædninger, påmurede;IfcCoveringType;USERDEFINED;;;;
443;Beklædninger, monterede;IfcCoveringType;USERDEFINED;;;;
449;Øvrigt, Trapper og ramper, overflader;;;;;;
45;Lofter, overflader;;;;;;
451;- verkant -;;;;;;
452;Beklædninger, påmurede;IfcCoveringType;CEILING;;;;
453;Beklædninger, monterede;IfcCoveringType;CEILING;;;;
459;Øvrigt, Loftoverflader;;;;;;
46;Altaner, overflader;;;;;;
461;- verkant -;;;;;;
462;Beklædninger, påmurede;IfcCoveringType;;;;;
463;Beklædninger, monterede;IfcCoveringType;;;;;
469;Øvrigt, Altanoverflader;;;;;;
47;Tage, overflader;;;;;;
471;- verkant -;;;;;;
472;Tagdækninger;IfcCoveringType;ROOFING;;;;
479;Øvrigt, Tagoverflader;;;;;;
49;Overflader bygning, øvrige;;;;;;
5;VVS- og ventilationsanlæg;;;;;;
50;VVS-anlæg, terræn;;;;;;
501;Metal- og betonrør i jord;;;IfcDistributionSystem;;;
502;Fleksible plastrør i jord;;;IfcDistributionSystem;;;
503;Hårde plastrør i jord;;;IfcDistributionSystem;;;
504;Brønde;IfcDistributionChamberElementType;;IfcDistributionSystem;;;
505;Riste/Linjedræn;IfcWasteTerminalType;;IfcDistributionSystem;;;
506;Udskiller (Olie, fedt, benzin mv.);IfcInterceptorType;;IfcDistributionSystem;;;
507;Sanitetstilslutninger;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;;;
508;Tilbehør;;;;;;
509;Øvrigt, VVS-anlæg terræn;;;;;;
51;Logistik;;;;;;
511;Affalds- og logistiksystemer;;;IfcDistributionSystem;;;
519;Øvrigt, Logistik;;;;;;
52;Afløb og sanitet;;;;;;
521;Spildevand, tilslutninger;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;WASTEWATER;;
522;Toiletter, tilslutninger;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;;;
523;Vaske, tilslutninger;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;;;
524;Vand- og afløb, tilslutninger;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;;;
525;Vand- og afløb, tilslutninger til teknisk udstyr;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;;;
526;Vand- og afløb, tilslutninger til lab. udstyr;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;;;
527;Regnvand, tilslutninger;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;RAINWATER;;
528;Afløbs-, Sanitets- og Regnvandsgenstande;;;IfcDistributionSystem;;;
529;Øvrigt, Afløb og sanitet, tilslutninger;;;;;;
53;Vand (koldt/varmt vand, behandlet vand);;;;;;
531;Mekanisk udstyr;;;IfcDistributionSystem;;;
532;Vandtilslutninger;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;;;
533;Vandbehandlingsanlæg;;;IfcDistributionSystem;;;
534;Brandslukning, tilslutninger;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;;;
535;Målere, Vand;IfcFlowMeterType;WATERMETER;IfcDistributionSystem;;;
536;Armaturer-, Vandgenstande;;;IfcDistributionSystem;;;
539;Øvrigt, Vand;;;;;;
54;Luftarter (gas, trykluft, vakuum, damp);;;;;;
541;Mekanisk udstyr;;;IfcDistributionSystem;;;
542;Luftartsudtag;IfcPipeFittingType;CONNECTOR;IfcDistributionSystem;;;
543;Luftartsproducerende anlæg;;;IfcDistributionSystem;;;
545;Tilbehør;;;;;;
546;Målere, Luftarter;IfcFlowMeterType;GASMETER;IfcDistributionSystem;;;
549;Øvrigt, Luftarter;;;;;;
55;Køling;;;;;;
551;Mekanisk udstyr;;;IfcDistributionSystem;;;
552;Kølegivere;;;IfcDistributionSystem;;;
553;Køleproducerende anlæg;;;IfcDistributionSystem;;;
554;Målere, Køling;IfcFlowMeterType;ENERGYMETER;IfcDistributionSystem;;;
559;Øvrigt, Køling;;;;;;
56;Varme;;;;;;
561;Mekanisk udstyr;;;IfcDistributionSystem;HEATING;;
562;Varmegivere;IfcSpaceHeaterType;;IfcDistributionSystem;HEATING;;
563;Varmeproducerende anlæg;;;IfcDistributionSystem;HEATING;;
564;Målere, Varme;IfcFlowMeterType;ENERGYMETER;IfcDistributionSystem;HEATING;;
569;Øvrigt, Varme;;;;;;
57;Ventilation;;;;;;
571;Kanaler;;;IfcDistributionSystem;VENTILATION;;
572;Anlæg, køle- og varmeflader, vekslere;;;IfcDistributionSystem;VENTILATION;;
573;Kanal tilbehør;;;IfcDistributionSystem;VENTILATION;;
574;Ventilatorer;IfcFanType;;IfcDistributionSystem;VENTILATION;;
575;Ventilationsarmaturer;IfcAirTerminalType;;IfcDistributionSystem;VENTILATION;;
576;Tilslutninger til udstyr;IfcDuctFittingType;CONNECTOR;IfcDistributionSystem;VENTILATION;;
577;Taghætter/gennemføringer;;;IfcDistributionSystem;VENTILATION;;
578;Kanalisolering;IfcCoveringType;INSUALTION;IfcDistributionSystem;VENTILATION;;
579;Øvrigt, Ventilation;;;;;;
58;Sprinkling;;;;;;
581;Mekanisk udstyr;;;IfcDistributionSystem;FIREPROTECTION;;
582;Sprinklerdyser;IfcFireSuppressionTerminalType;SPRINKLER;IfcDistributionSystem;FIREPROTECTION;;
583;Brandskabe;IfcFireSuppressionTerminalType;HOSEREEL;IfcDistributionSystem;FIREPROTECTION;;
589;Øvrigt, Sprinkling;;;IfcDistributionSystem;FIREPROTECTION;;
59;Tværgående komponenter, VVS;;;;;;
591;Metalrør i bygninger;;;IfcDistributionSystem;;;
592;Fleksible rør i bygninger;;;IfcDistributionSystem;;;
593;Hårde plastrør i bygninger;;;IfcDistributionSystem;;;
594;Statiske Ventiler;IfcValveType;;IfcDistributionSystem;;;
595;Dynamiske Ventiler;IfcValveType;;IfcDistributionSystem;;;
596;Moterdrevne rørtilbehør;;;IfcDistributionSystem;;;
597;Målere, filtre og øvrige;;;IfcDistributionSystem;;;
598;Rørisolering;IfcCoveringType;INSULATION;;;;
599;Bæringer, udsparinger og øvrige;;;;;;
6;El- og mekaniske anlæg;;;;;;
60;El- og mekaniske anlæg, Terræn;;;;;;
601;Ledninger;IfcCableSegmentType;CABLESEGMENT;IfcDistributionSystem;ELECTRICAL;;
602;Belysning;IfcLightFixtureType;;IfcDistributionSystem;LIGHTING;;
603;Installation for anlæg under terræn;;;IfcDistributionSystem;;;
604;Installation for anlæg på terræn;;;IfcDistributionSystem;;;
605;Trafikstyring;;;IfcDistributionSystem;;;
606;Føringsveje under terræn;;;IfcDistributionSystem;;;
609;Øvrigt, El- og mekaniske anlæg, terræn;;;;;;
61;Føringsveje;;;;;;
611;Bakker/stiger;;;;;;
612;Kanaler;;;IfcDistributionSystem;;;
613;Kabelrør;IfcCableCarrierSegmentType;CONDUITSEGMENT;IfcDistributionSystem;;;
614;Fiberbakker;;;IfcDistributionSystem;;;
615;Bæringer, udsparinger og øvrige;;;;;;
616;Dåser og indstøbninger;;;IfcDistributionSystem;;;
619;Øvrigt, Føringsveje;;;;;;
62;Højspænding;;;;;;
